group,run_name,mlp_layers,pretraining,pretrain_lr,finetune_lr,latent_dim,num_neg,gmf_best_val,gmf_best_epoch,mlp_best_val,mlp_best_epoch,neumf_best_val,neumf_best_epoch,Recall@10,NDCG@10,num_eval_users,npz_path
mlp_architecture,mlp_32-16-8,"[32, 16, 8]",both,0.001,0.001,8,4,0.1401789125496245,36,0.13375205435157822,15,0.12808627167272998,11,0.1403931339973741,0.20181676513605487,6038,comparison_results/mlp_architecture/mlp_32-16-8/history_and_results.npz
mlp_architecture,mlp_64-32-16-8,"[64, 32, 16, 8]",both,0.001,0.001,8,4,0.1401789125496245,36,0.13071776510173785,9,0.12190871523047654,11,0.14096330327945164,0.2015246415790925,6038,comparison_results/mlp_architecture/mlp_64-32-16-8/history_and_results.npz
mlp_architecture,mlp_128-64-32-16,"[128, 64, 32, 16]",both,0.001,0.001,8,4,0.1401789125496245,36,0.12397898632512369,11,0.12139998737775243,2,0.14471713192120672,0.20592477365092046,6038,comparison_results/mlp_architecture/mlp_128-64-32-16/history_and_results.npz
pretraining_ablation,pretrain_none,"[64, 32, 16, 8]",none,0.001,0.001,8,4,,,,,0.16169074075128043,2,0.07796940213897646,0.1146420948402789,6038,comparison_results/pretraining_ablation/pretrain_none/history_and_results.npz
pretraining_ablation,pretrain_gmf,"[64, 32, 16, 8]",gmf,0.001,0.001,8,4,0.1401789125496245,36,,,0.12743271292630565,11,0.13349568063056594,0.19279324468264097,6038,comparison_results/pretraining_ablation/pretrain_gmf/history_and_results.npz
pretraining_ablation,pretrain_mlp,"[64, 32, 16, 8]",mlp,0.001,0.001,8,4,,,0.12839220831799353,19,0.12089523969300868,9,0.13703879508182498,0.1945959734994685,6038,comparison_results/pretraining_ablation/pretrain_mlp/history_and_results.npz
learning_rate,lr_0p0005,"[64, 32, 16, 8]",both,0.0005,0.0005,8,4,0.143704989586707,42,0.1506428151899674,3,0.14190657620757954,1,0.12001598698636257,0.18073339891634038,6038,comparison_results/learning_rate/lr_0p0005/history_and_results.npz
learning_rate,lr_0p001,"[64, 32, 16, 8]",both,0.001,0.001,8,4,0.1401789125496245,36,0.13071776510173785,9,0.12190871523047654,11,0.14096330327945164,0.2015246415790925,6038,comparison_results/learning_rate/lr_0p001/history_and_results.npz
learning_rate,lr_0p005,"[64, 32, 16, 8]",both,0.005,0.005,8,4,0.1352643238775083,18,0.12290844041720252,15,0.11964210427073423,5,0.14422470346786484,0.20506957780759094,6038,comparison_results/learning_rate/lr_0p005/history_and_results.npz
finetune_learning_rate,pretrainlr_0p001_finetunelr_0p0005,"[64, 32, 16, 8]",both,0.001,0.0005,8,4,0.1401789125496245,36,0.13071776510173785,9,0.12581801194865763,11,0.14264535409054233,0.20318495302918213,6038,comparison_results/finetune_learning_rate/pretrainlr_0p001_finetunelr_0p0005/history_and_results.npz
finetune_learning_rate,pretrainlr_0p001_finetunelr_0p0001,"[64, 32, 16, 8]",both,0.001,0.0001,8,4,0.1401789125496245,36,0.13071776510173785,9,0.12726630447408271,14,0.14025828732572038,0.20086370816674542,6038,comparison_results/finetune_learning_rate/pretrainlr_0p001_finetunelr_0p0001/history_and_results.npz
finetune_learning_rate,pretrainlr_0p001_finetunelr_5e-05,"[64, 32, 16, 8]",both,0.001,5e-05,8,4,0.1401789125496245,36,0.13071776510173785,9,0.13112400791925677,8,0.13917074892825407,0.20080909354589022,6038,comparison_results/finetune_learning_rate/pretrainlr_0p001_finetunelr_5e-05/history_and_results.npz
latent_dimension,latent_4,"[64, 32, 16, 8]",both,0.001,5e-05,4,4,0.15288043242566912,34,0.12945182400496616,15,0.12895681489886562,12,0.13166546726289363,0.1896030753218582,6038,comparison_results/latent_dimension/latent_4/history_and_results.npz
latent_dimension,latent_16,"[64, 32, 16, 8]",both,0.001,5e-05,16,4,0.1302994684199398,37,0.13308107328214125,10,0.12149226770463921,28,0.1451403003200235,0.20619042569887902,6038,comparison_results/latent_dimension/latent_16/history_and_results.npz
latent_dimension,latent_24,"[64, 32, 16, 8]",both,0.001,5e-05,24,4,0.12445836733030076,38,0.13864292412112836,7,0.12155495816786492,15,0.14161115724010556,0.20042582847850238,6038,comparison_results/latent_dimension/latent_24/history_and_results.npz
negative_sampling_ratio,numneg_1,"[64, 32, 16, 8]",both,0.001,5e-05,8,1,0.3413747724567407,50,0.3196102843446606,12,0.29690877653306813,35,0.1198473609297043,0.17633276945620252,6038,comparison_results/negative_sampling_ratio/numneg_1/history_and_results.npz
negative_sampling_ratio,numneg_8,"[64, 32, 16, 8]",both,0.001,5e-05,8,8,0.08901319021407733,30,0.08364421488090477,6,0.08632543612036904,10,0.14353076239555065,0.20515379031279296,6038,comparison_results/negative_sampling_ratio/numneg_8/history_and_results.npz
negative_sampling_ratio,numneg_12,"[64, 32, 16, 8]",both,0.001,5e-05,8,12,0.06991865431636168,19,0.06353110299693164,11,0.0666960274119349,11,0.14985900280459427,0.213396586271284,6038,comparison_results/negative_sampling_ratio/numneg_12/history_and_results.npz
